,FR_Inflation_CPI,FR_PIB,FR_Unemployment_Rate,FR_Debt_Rate,DE_Inflation_CPI,DE_PIB_Growth,DE_Unemployment_Rate,DE_Debt_Rate
2020-01-01,0.476498852725066,,8.2,114.831,0.144877925813982,,3.2,68.035
2020-02-01,,,7.8,,,,3.3,
2020-03-01,,,7.6,,,,3.4,
2020-04-01,,-52.13,7.6,,,-37.17,3.5,
2020-05-01,,,6.9,,,,3.7,
2020-06-01,,,7.3,,,,3.8,
2020-07-01,,57.11,8.6,,,33.28,3.8,
2020-08-01,,,9.0,,,,3.9,
2020-09-01,,,9.0,,,,3.8,
2020-10-01,,-0.32,8.3,,,3.85,3.8,
2020-11-01,,,8.1,,,,3.8,
2020-12-01,,,7.9,,,,3.8,
2021-01-01,1.64233141038385,1.57,8.1,112.703,3.06666666666673,-2.47,3.9,68.077
2021-02-01,,,8.2,,,,3.9,
2021-03-01,,,8.2,,,,3.9,
2021-04-01,,4.8,8.2,,,9.29,3.8,
2021-05-01,,,8.0,,,,3.7,
2021-06-01,,,7.9,,,,3.6,
2021-07-01,,11.8,7.9,,,0.35,3.5,
2021-08-01,,,7.8,,,,3.4,
2021-09-01,,,7.7,,,,3.4,
2021-10-01,,2.24,7.5,,,2.14,3.4,
2021-11-01,,,7.5,,,,3.4,
2021-12-01,,,7.4,,,,3.4,
2022-01-01,5.22236748369735,-0.38,7.3,111.286,6.87257438551097,2.7,3.3,64.997
2022-02-01,,,7.3,,,,3.2,
2022-03-01,,,7.4,,,,3.2,
2022-04-01,,1.72,7.5,,,0.61,3.1,
2022-05-01,,,7.5,,,,3.1,
2022-06-01,,,7.4,,,,3.1,
2022-07-01,,2.06,7.3,,,1.17,3.1,
2022-08-01,,,7.2,,,,3.1,
2022-09-01,,,7.1,,,,3.1,
2022-10-01,,1.55,7.2,,,-1.4,3.1,
2022-11-01,,,7.2,,,,3.1,
2022-12-01,,,7.2,,,,3.1,
2023-01-01,4.87835726508441,0.31,7.1,109.733,5.94643667725823,-1.89,3.0,62.878
2023-02-01,,,7.1,,,,3.0,
2023-03-01,,,7.1,,,,3.0,
2023-04-01,,3.51,7.3,,,-0.3,3.0,
2023-05-01,,,7.3,,,,3.0,
2023-06-01,,,7.3,,,,3.0,
2023-07-01,,0.84,7.4,,,0.0,3.0,
2023-08-01,,,7.4,,,,3.1,
2023-09-01,,,7.4,,,,3.1,
2023-10-01,,1.78,7.5,,,-1.11,3.2,
2023-11-01,,,7.6,,,,3.2,
2023-12-01,,,7.6,,,,3.2,
2024-01-01,1.99904942291463,0.51,7.6,,2.2564981433876,-0.43,3.2,63.888
2024-02-01,,,7.4,,,,3.3,
2024-03-01,,,7.4,,,,3.3,
2024-04-01,,0.77,7.3,,,-1.03,3.4,
2024-05-01,,,7.4,,,,3.4,
2024-06-01,,,7.4,,,,3.4,
2024-07-01,,1.46,7.4,,,0.08,3.4,
2024-08-01,,,7.4,,,,3.4,
2024-09-01,,,7.4,,,,3.4,
2024-10-01,,-0.18,7.3,,,0.73,3.4,
2024-11-01,,,7.3,,,,3.4,
2024-12-01,,,7.3,,,,3.5,
2025-01-01,,0.4,7.3,,,1.22,3.5,
2025-02-01,,,7.5,,,,3.6,
2025-03-01,,,7.6,,,,3.6,
2025-04-01,,1.3,7.5,,,-0.84,3.7,
2025-05-01,,,7.6,,,,3.7,
2025-06-01,,,7.6,,,,3.7,
2025-07-01,,2.15,7.7,,,0.0,3.8,
2025-08-01,,,7.7,,,,3.8,
2025-09-01,,,7.7,,,,3.8,
2025-10-01,,,7.7,,,,3.8,
2025-11-01,,,7.7,,,,3.8,
